NAME,ENAME,CODE,ADDRESS,X,Y
北京市,Beijing,110000000000,,116.405285,39.904989
天津市,Tianjin,120000000000,,117.190182,39.125596
石家庄市,Shijiazhuang,130100000000,河北省;,114.502461,38.045474
唐山市,Tangshan,130200000000,河北省;,118.175393,39.635113
秦皇岛市,Qinhuangdao,130300000000,河北省;,119.586579,39.942531
邯郸市,Handan,130400000000,河北省,114.490686,36.612273
邢台市,Xingtai,130500000000,河北省,114.508851,37.0682
保定市,Baoding,130600000000,河北省,115.482331,38.867657
张家口市,Zhangjiakou,130700000000,河北省,114.884091,40.811901
承德市,Chengde,130800000000,河北省,117.939152,40.976204
沧州市,Cangzhou,130900000000,河北省,116.857461,38.310582
廊坊市,Langfang,131000000000,河北省,116.713873,39.529244
衡水市,Hengshui,131100000000,河北省,115.665993,37.735097
太原市,Taiyuan,140100000000,山西省,112.549248,37.857014
大同市,Datong,140200000000,山西省,113.295259,40.09031
阳泉市,Yangquan,140300000000,山西省,113.583285,37.861188
长治市,Changzhi,140400000000,山西省,113.113556,36.191112
晋城市,Jincheng,140500000000,山西省,112.851274,35.497553
朔州市,Shuozhou,140600000000,山西省,112.433387,39.331261
晋中市,Jinzhong,140700000000,山西省,112.736465,37.696495
运城市,Yuncheng,140800000000,山西省,111.003957,35.022778
忻州市,Xinzhou,140900000000,山西省,112.733538,38.41769
临汾市,Linfen,141000000000,山西省,111.517973,36.08415
吕梁市,Lvliang,141100000000,山西省,111.134335,37.524366
呼和浩特市,Hohhot,150100000000,内蒙古自治区,111.670801,40.818311
包头市,Baotou,150200000000,内蒙古自治区,109.840405,40.658168
乌海市,Wuhai,150300000000,内蒙古自治区,106.825563,39.673734
赤峰市,Chifeng,150400000000,内蒙古自治区,118.956806,42.275317
通辽市,Tongliao,150500000000,内蒙古自治区,122.263119,43.617429
鄂尔多斯市,Ordos,150600000000,内蒙古自治区,109.99029,39.817179
呼伦贝尔市,Hulunber,150700000000,内蒙古自治区,119.758168,49.215333
